Growth-Media	WELL-ID	In-Group
PMA carbon source test + L-rhamnose	C6	Biolog PM1 - Carbon Sources
PMA carbon source test + methyl &alpha;-D-glucoside	C6	Biolog PM2 - Carbon Sources
PMA nitrogen source test + D-glutamate	C6	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + D-glucosamine-6-phosphate	C6	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + maltitol	C5	Biolog PM2 - Carbon Sources
PMA carbon source test + Tween 20	C5	Biolog PM1 - Carbon Sources
PMA nitrogen source test + D-aspartate	C5	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + 2-deoxy-D-glucose 6-phosphate	C5	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-ribose	C4	Biolog PM1 - Carbon Sources
PMA carbon source test + melezitose	C4	Biolog PM2 - Carbon Sources
PMA nitrogen source test + D-asparagine	C4	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + D-glucose-6-phosphate	C4	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + (<i>RS</i>)-malate	C3	Biolog PM1 - Carbon Sources
PMA carbon source test + lactitol	C3	Biolog PM2 - Carbon Sources
PMA nitrogen source test + D-alanine	C3	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + &alpha;-D-glucose 1-phosphate	C3	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-galactono-1,4-lactone	C2	Biolog PM1 - Carbon Sources
PMA carbon source test + L-glucose	C2	Biolog PM2 - Carbon Sources
PMA nitrogen source test + val	C2	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + 2-phosphoglycolate	C2	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + palatinose	C12	Biolog PM2 - Carbon Sources
PMA carbon source test + thymidine	C12	Biolog PM1 - Carbon Sources
PMA nitrogen source test + L-ornithine	C12	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + 3',5'-cyclic CMP	C12	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 1-O-methyl-&beta;-D-xylopyranose	C11	Biolog PM2 - Carbon Sources
PMA carbon source test + melibiose	C11	Biolog PM1 - Carbon Sources
PMA nitrogen source test + L-homoserine	C11	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + cytidine 2',3'-cyclic monophosphate	C11	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + maltose	C10	Biolog PM1 - Carbon Sources
PMA carbon source test + methyl &alpha;-D-mannopyranoside	C10	Biolog PM2 - Carbon Sources
PMA nitrogen source test + L-citrulline	C10	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + CMP	C10	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + &beta;-gentiobiose	C1	Biolog PM2 - Carbon Sources
PMA carbon source test + D-glucose-6-phosphate	C1	Biolog PM1 - Carbon Sources
PMA nitrogen source test + tyr	C1	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + phosphoenolpyruvate	C1	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + (<i>S</i>)-lactate	B9	Biolog PM1 - Carbon Sources
PMA carbon source test + 2'-deoxyribose	B9	Biolog PM2 - Carbon Sources
PMA nitrogen source test + pro	B9	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + guanosine 3'-monophosphate	B9	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-xylose	B8	Biolog PM1 - Carbon Sources
PMA carbon source test + hydroquinone-O-&beta;-D-glucopyranoside	B8	Biolog PM2 - Carbon Sources
PMA nitrogen source test + phe	B8	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + guanosine 2'-monophosphate	B8	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + L-arabitol	B7	Biolog PM2 - Carbon Sources
PMA carbon source test + <i>sn</i>-glycerol-3-phosphate	B7	Biolog PM1 - Carbon Sources
PMA nitrogen source test + met	B7	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + 3-phospho-D-glycerate	B7	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-arabitol	B6	Biolog PM2 - Carbon Sources
PMA carbon source test + D-gluconate	B6	Biolog PM1 - Carbon Sources
PMA nitrogen source test + lys	B6	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + 2-phospho-D-glycerate	B6	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-arabinose	B5	Biolog PM2 - Carbon Sources
PMA carbon source test + D-glucuronate	B5	Biolog PM1 - Carbon Sources
PMA nitrogen source test + leu	B5	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + carbamoyl-phosphate	B5	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + (R)-amygdalin	B4	Biolog PM2 - Carbon Sources
PMA carbon source test + L-fucose	B4	Biolog PM1 - Carbon Sources
PMA nitrogen source test + ile	B4	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + glycerol 2-phosphate	B4	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-allose	B3	Biolog PM2 - Carbon Sources
PMA carbon source test + glycerol	B3	Biolog PM1 - Carbon Sources
PMA nitrogen source test + his	B3	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + <i>sn</i>-glycerol-3-phosphate	B3	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-sorbitol	B2	Biolog PM1 - Carbon Sources
PMA carbon source test + <i>N</i>-acetylneuraminate	B2	Biolog PM2 - Carbon Sources
PMA nitrogen source test + gly	B2	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + dithiophosphate	B2	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 3-O-&beta;-D-galactopyranosyl-D-arabinose	B12	Biolog PM2 - Carbon Sources
PMA carbon source test + glt	B12	Biolog PM1 - Carbon Sources
PMA nitrogen source test + trp	B12	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + cyclic-GMP	B12	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-fucose	B11	Biolog PM2 - Carbon Sources
PMA carbon source test + D-mannitol	B11	Biolog PM1 - Carbon Sources
PMA nitrogen source test + thr	B11	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + guanosine 2',3'-cyclic monophosphate	B11	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + erythritol	B10	Biolog PM2 - Carbon Sources
PMA carbon source test + formate	B10	Biolog PM1 - Carbon Sources
PMA nitrogen source test + ser	B10	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + GMP	B10	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + an N-acetyl-D-galactosamine	B1	Biolog PM2 - Carbon Sources
PMA carbon source test + D-serine	B1	Biolog PM1 - Carbon Sources
PMA nitrogen source test + gln	B1	Biolog PM3 - Nitrogen Sources
