dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
108,83333,cutC,cutC,NE,,PEC
108,83333,cvpA,cvpA,NE,,PEC
108,83333,cvrA,cvrA,NE,,PEC
108,83333,cxm,cxm,NE,,PEC
108,83333,cyaA,cyaA,NE,,PEC
108,83333,cyaR,cyaR,NE,,PEC
108,83333,cyaY,cyaY,NE,,PEC
108,83333,cybB,cybB,NE,,PEC
108,83333,cybC,cybC,NE,,PEC
108,83333,cycA,cycA,NE,,PEC
108,83333,cydA,cydA,NE,,PEC
108,83333,cydB,cydB,NE,,PEC
108,83333,cydC,cydC,NE,,PEC
108,83333,cydD,cydD,NE,,PEC
108,83333,cynR,cynR,NE,,PEC
108,83333,cynS,cynS,NE,,PEC
108,83333,cynT,cynT,NE,,PEC
108,83333,cynX,cynX,NE,,PEC
108,83333,cyoA,cyoA,NE,,PEC
108,83333,cyoB,cyoB,NE,,PEC
108,83333,cyoC,cyoC,NE,,PEC
108,83333,cyoD,cyoD,NE,,PEC
108,83333,cyoE,cyoE,NE,,PEC
108,83333,cysA,cysA,NE,,PEC
108,83333,cysB,cysB,NE,,PEC
108,83333,cysC,cysC,NE,,PEC
108,83333,cysD,cysD,NE,,PEC
108,83333,cysE,cysE,NE,,PEC
108,83333,cysG,cysG,NE,,PEC
108,83333,cysH,cysH,NE,,PEC
108,83333,cysI,cysI,NE,,PEC
108,83333,cysJ,cysJ,NE,,PEC
108,83333,cysK,cysK,NE,,PEC
108,83333,cysM,cysM,NE,,PEC
108,83333,cysN,cysN,NE,,PEC
108,83333,cysP,cysP,NE,,PEC
108,83333,cysQ,cysQ,NE,,PEC
108,83333,cysS,cysS,E,,PEC
108,83333,cysT,cysT,C,,PEC
108,83333,cysU,cysU,NE,,PEC
108,83333,cysW,cysW,NE,,PEC
108,83333,cysX,cysX,NE,,PEC
108,83333,cysZ,cysZ,NE,,PEC
108,83333,cytR,cytR,NE,,PEC
108,83333,dacA,dacA,NE,,PEC
108,83333,dacB,dacB,NE,,PEC
108,83333,dacC,dacC,NE,,PEC
108,83333,dacD,dacD,NE,,PEC
108,83333,dadA,dadA,NE,,PEC
108,83333,dadB,dadB,NE,,PEC
108,83333,dadQ,dadQ,NE,,PEC
108,83333,dadX,dadX,NE,,PEC
108,83333,dam,dam,NE,,PEC
108,83333,damX,damX,NE,,PEC
108,83333,dapA,dapA,E,,PEC
108,83333,dapB,dapB,E,,PEC
108,83333,dapC,dapC,NE,,PEC
108,83333,dapD,dapD,E,,PEC
108,83333,dapE,dapE,E,,PEC
108,83333,dapF,dapF,NE,,PEC
108,83333,dauA,dauA,NE,,PEC
108,83333,dbpA,dbpA,NE,,PEC
108,83333,dcd,dcd,NE,,PEC
108,83333,dcm,dcm,NE,,PEC
108,83333,dcp,dcp,NE,,PEC
108,83333,dcrB,dcrB,NE,,PEC
108,83333,dctA,dctA,NE,,PEC
108,83333,dctB,dctB,NE,,PEC
108,83333,dctR,dctR,NE,,PEC
108,83333,dcuA,dcuA,NE,,PEC
108,83333,dcuB,dcuB,NE,,PEC
108,83333,dcuC,dcuC,NE,,PEC
108,83333,dcuD,dcuD,NE,,PEC
108,83333,dcuR,dcuR,NE,,PEC
108,83333,dcuS,dcuS,NE,,PEC
108,83333,dcyD,dcyD,NE,,PEC
108,83333,ddlA,ddlA,NE,,PEC
108,83333,ddlB,ddlB,NE,,PEC
108,83333,ddpA,ddpA,NE,,PEC
108,83333,ddpB,ddpB,NE,,PEC
108,83333,ddpC,ddpC,NE,,PEC
108,83333,ddpD,ddpD,NE,,PEC
108,83333,ddpF,ddpF,NE,,PEC
108,83333,ddpX,ddpX,NE,,PEC
108,83333,deaD,deaD,NE,,PEC
108,83333,dedA,dedA,NE,,PEC
108,83333,dedD,dedD,NE,,PEC
108,83333,def,def,E,,PEC
108,83333,degP,degP,NE,,PEC
108,83333,degQ,degQ,NE,,PEC
108,83333,degS,degS,E,,PEC
108,83333,del,del,NE,,PEC
108,83333,deoA,deoA,NE,,PEC
108,83333,deoB,deoB,NE,,PEC
108,83333,deoC,deoC,NE,,PEC
108,83333,deoD,deoD,NE,,PEC
108,83333,deoR,deoR,NE,,PEC
108,83333,der,der,E,,PEC
108,83333,dfp,dfp,E,,PEC
108,83333,dgd,dgd,NE,,PEC
108,83333,dgkA,dgkA,NE,,PEC
108,83333,dgkR,dgkR,NE,,PEC
108,83333,dgoA,dgoA,NE,,PEC
108,83333,dgoD,dgoD,NE,,PEC
108,83333,dgoK,dgoK,NE,,PEC
108,83333,dgoR,dgoR,NE,,PEC
108,83333,dgoT,dgoT,NE,,PEC
108,83333,dgt,dgt,NE,,PEC
108,83333,dhaK,dhaK,NE,,PEC
108,83333,dhaL,dhaL,NE,,PEC
108,83333,dhaM,dhaM,NE,,PEC
108,83333,dhaR,dhaR,NE,,PEC
108,83333,diaA,diaA,NE,,PEC
108,83333,dicA,dicA,NE,,PEC
108,83333,dicB,dicB,NE,,PEC
108,83333,dicC,dicC,NE,,PEC
108,83333,dicF,dicF,NE,,PEC
108,83333,dinB,dinB,NE,,PEC
108,83333,dinD,dinD,NE,,PEC
108,83333,dinF,dinF,NE,,PEC
108,83333,dinG,dinG,NE,,PEC
108,83333,dinI,dinI,NE,,PEC
108,83333,dinJ,dinJ,NE,,PEC
108,83333,dinQ,dinQ,NE,,PEC
108,83333,dinY,dinY,NE,,PEC
108,83333,djlA,djlA,NE,,PEC
108,83333,djlB,djlB,NE,,PEC
108,83333,djlC,djlC,NE,,PEC
